Climate_Zone,Crop,K_ini,K_mid,K_Late,Initial_days,Dev_Days,Mid_Days,Late_days,Planting_Greenup_Date,Soil_Cover_Period,SCP_Starts,SCP_End
Tropics,Apple,0.6,0.95,0.75,60,90,120,95,15-Jan,All year,1,12
Tropics,Banana,1,1.2,1.1,120,60,180,5,1-Feb,All year,1,12
Tropics,Barley,0.3,1.15,0.25,15,25,50,30,15-May,May-Sep,5,9
Tropics,Cabbage,0.7,1.05,0.95,40,60,50,15,1-Jul,Jul-Dec,7,12
Tropics,Carrot,0.7,1.05,0.95,20,30,50,20,1-Dec,Mar-Dec,3,12
Tropics,Cocoa,0.9,0.95,0.95,120,60,180,5,15-May,All year,1,12
Tropics,Coconut,0.95,1,1,120,60,180,5,15-Feb,All year,1,12
Tropics,Coffee,0.9,0.95,0.95,120,60,180,5,15-May,All year,1,12
Tropics,Cotton,0.35,1.2,0.6,30,50,60,55,1-Jun,Jun-Dec,6,12
Tropics,Grapes,0.4,0.85,0.4,20,40,120,60,15-Apr,Apr-Dec,4,12
Tropics,Groundnut,0.4,1.15,0.6,35,45,35,25,1-Nov,Mar-Nov,3,11
Tropics,Maize,0.3,1.2,0.5,20,35,40,30,15-Jun,Jun-Oct,6,10
Tropics,Oil palm,0.9,0.95,0.95,120,60,180,5,15-Feb,All year,1,12
Tropics,Olive,0.65,0.7,0.7,30,90,60,185,15-Apr,All year,1,12
Tropics,Onion,1,1,0.3,20,45,20,10,15-Oct,Jan-Oct,1,10
Tropics,Orange,0.7,0.65,0.7,60,90,120,95,15-Jan,All year,1,12
Tropics,Potato,0.5,1.15,0.75,30,35,50,25,1-Dec,Apr-Dec,4,12
Tropics,Rapeseed,0.35,1.15,0.35,30,60,30,30,1-Dec,Apr-Dec,4,12
Tropics,Rice,1.05,1.2,0.6,30,30,80,40,15-May,May-Nov,5,11
Tropics,Sorghum,0.3,1,0.55,20,35,40,30,1-Jun,Jun-Oct,6,10
Tropics,Soybean,0.4,1.15,0.5,15,15,40,15,1-Dec,Feb-Dec,2,12
Tropics,Sugar beet,0.35,1.2,0.7,35,60,70,40,15-Nov,Jun-Nov,6,11
Tropics,Sugarcane,0.4,1.25,0.75,30,50,180,60,15-Mar,Jan-Mar,1,3
Tropics,Sunflower,0.35,1.15,0.35,25,35,45,25,15-Nov,Mar-Nov,3,11
Tropics,Sweet potato,0.5,1.15,0.65,15,30,50,30,1-Oct,Feb-Oct,2,10
Tropics,Tobacco,0.5,1.15,0.8,20,30,30,30,15-Feb,Feb-Jun,2,6
Tropics,Tomato,0.6,1.15,0.8,30,40,40,25,15-Jan,Jan-May,1,5
Tropics,Wheat,0.3,1.15,0.3,15,25,50,30,15-May,May-Sep,5,9
Subtropics summer rainfall,Apple,0.6,0.95,0.75,60,90,120,95,15-Jan,All year,1,12
Subtropics summer rainfall,Banana,1,1.2,1.1,120,60,180,5,1-Feb,All year,1,12
Subtropics summer rainfall,Barley,0.3,1.15,0.25,15,25,50,30,15-May,May-Sep,5,9
Subtropics summer rainfall,Cabbage,0.7,1.05,0.95,40,60,50,15,1-Nov,Apr-Nov,4,11
Subtropics summer rainfall,Carrot,0.7,1.05,0.95,20,30,50,20,1-Dec,Mar-Dec,3,12
Subtropics summer rainfall,Cocoa,0.9,0.95,0.95,120,60,180,5,15-May,All year,1,12
Subtropics summer rainfall,Coconut,0.95,1,1,120,60,180,5,15-Feb,All year,1,12
Subtropics summer rainfall,Coffee,0.9,0.95,0.95,120,60,180,5,15-May,All year,1,12
Subtropics summer rainfall,Cotton,0.35,1.2,0.6,30,50,60,55,1-Jun,Jun-Dec,6,12
Subtropics summer rainfall,Grapes,0.4,0.85,0.4,20,40,120,60,15-Apr,Apr-Dec,4,12
Subtropics summer rainfall,Groundnut,0.4,1.15,0.6,35,45,35,25,1-Jul,Jul-Nov,7,11
Subtropics summer rainfall,Maize,0.3,1.2,0.5,20,35,40,30,15-Jun,Jun-Oct,6,10
Subtropics summer rainfall,Oil palm,0.9,0.95,0.95,120,60,180,5,15-Feb,All year,1,12
Subtropics summer rainfall,Olive,0.65,0.7,0.7,30,90,60,185,15-Apr,All year,1,12
Subtropics summer rainfall,Onion,1,1,0.3,20,45,20,10,15-Oct,Jan-Oct,1,10
Subtropics summer rainfall,Orange,0.7,0.65,0.7,60,90,120,95,15-Jan,All year,1,12
Subtropics summer rainfall,Potato,0.5,1.15,0.75,25,30,45,30,1-Jul,Jul-Nov,7,11
Subtropics summer rainfall,Rapeseed,0.35,1.15,0.35,30,60,30,30,1-Oct,Feb-Oct,2,10
Subtropics summer rainfall,Rice,1.05,1.2,0.6,30,30,60,30,15-Jun,Jun-Nov,6,11
Subtropics summer rainfall,Sorghum,0.3,1,0.55,20,35,40,30,1-Jun,Jun-Oct,6,10
Subtropics summer rainfall,Soybean,0.4,1.15,0.5,20,30,60,25,1-Jun,Jun-Oct,6,10
Subtropics summer rainfall,Sugar beet,0.35,1.2,0.7,45,75,80,30,15-Nov,Jul-Nov,7,11
Subtropics summer rainfall,Sugarcane,0.4,1.25,0.75,30,50,180,60,15-Mar,Jan-Mar,1,3
Subtropics summer rainfall,Sunflower,0.35,1.15,0.35,25,35,45,25,15-Nov,Mar-Nov,3,11
Subtropics summer rainfall,Sweet potato,0.5,1.15,0.65,15,30,50,30,1-Oct,Feb-Oct,2,10
Subtropics summer rainfall,Tobacco,0.5,1.15,0.8,20,30,30,30,15-May,May-Sep,5,9
Subtropics summer rainfall,Tomato,0.6,1.15,0.8,30,40,40,25,15-Jan,Jan-May,1,5
